loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
581,1,1,0,0,3341.55884000,4.210000,13.900,260.62060,0.533000,0.040000,,,0,G8V,5468.00,0.85,0.71,[Fe/H],-0.219,4.43,9.527,,37.66299,73.02692,853.7420000,18.2840000,54.6636000
582,1,1,0,0,163.94000000,0.600000,12.800,1706.74710,4.470000,0.610000,,,0,G3 IV,5743.00,1.32,1.18,[Fe/H],0.257,4.27,8.000,,-9.75953,333.38496,-123.9680000,63.0484000,15.8321000
583,1,2,0,0,408.60001000,1.290000,13.300,778.68350,1.820000,0.460000,,,0,G5 V,5589.00,2.30,1.96,[Fe/H],0.663,4.01,5.640,,-10.02581,333.28825,-55.8906000,63.4482000,15.7321000
584,1,2,0,0,3452.00000000,5.360000,13.200,819.97000,1.960000,0.060000,,,0,G5 V,5605.00,1.76,1.72,[Fe/H],0.665,3.82,5.640,,-10.02581,333.28825,-55.8906000,63.4482000,15.7321000
585,1,1,0,0,352.65000000,1.040000,14.000,238.37131,0.477000,0.210000,,,0,F8 IV,6239.00,1.76,1.22,[Fe/H],0.641,4.26,,,27.12388,30.50173,-136.0040000,57.7995000,17.2723000
586,2,1,0,0,818.80000000,2.000000,13.200,826.35800,1.970000,0.040000,,,0,K1 III,4960.00,5.03,1.69,[Fe/H],1.129,3.17,,,11.08738,2.64800,-138.3890000,74.2309000,13.4431000
587,1,2,0,0,194.30000000,0.630000,13.800,314.65170,0.658000,0.170000,,,0,G0,5905.00,1.38,1.15,[Fe/H],0.299,4.22,10.700,,34.77496,56.28261,-215.9080000,43.6197000,22.8965000
588,1,2,0,0,391.90000000,1.020000,13.900,261.00000,0.534000,0.160000,,,0,G0,5900.00,1.38,0.92,[Fe/H],0.299,4.16,10.700,,34.77496,56.28261,-215.9080000,43.6197000,22.8965000
589,1,2,0,0,131.05000000,0.490000,12.500,3140.16040,8.830000,0.710000,,,0,G6,5453.00,0.95,0.95,[Fe/H],-0.146,4.46,4.100,,35.08164,93.08627,160.2070000,36.1945000,27.5995000
590,1,2,0,0,4191.00000000,5.461000,12.600,2733.33800,7.510000,0.231000,,,0,G6,5458.24,0.97,0.93,[Fe/H],-0.146,4.45,4.100,,35.08164,93.08627,160.2070000,36.1945000,27.5995000
591,1,1,0,0,842.20000000,1.880000,14.000,235.18000,0.471000,0.220000,,,0,F8 IV/V,5900.00,2.16,1.25,[Fe/H],0.731,4.07,4.280,,-6.46352,340.79031,-211.5490000,56.8655000,17.5567000
592,1,2,0,0,4.64550000,0.050000,1.870,4.15000,3.490000,0.000000,,,0,K2,4850.00,0.72,0.77,[Fe/H],0.230,4.60,8.600,,32.11490,51.96923,216.7690000,24.3323000,41.0687000
