num_star,2_stars,orbital_period,semi-major_axis,planet_radius,planet_mass,planet_eccen,planet_temp,star_temp,star_radius,star_mass,star_bright,star_age,latitude_gal,longitude_gal,distance,parallax,mass_ratio_sys,radius_ratio_sys,num_planet
1,0,3.85298,0.05239,16.589,419.5356,0.0,1675.0,6570.0,1.62,1.79,0.553,2.3,-18.43512,108.96346,275.358,3.60357,0.0007037214745906957,0.0936896150489845,1
1,0,4.7947813,0.06277,18.282,182.43351,0.25,1772.0,6212.0,2.2,1.44,0.809,2.765,-9.67032,132.48097,233.22,4.25972,0.00038038828896430366,0.0760304018152052,1
1,0,1.90231289,0.0301,10.077,335.94463,0.113,1505.0,5587.0,0.94,1.0,-0.115,2.6,5.02601,157.78135,338.84,2.92298,0.00100867839635998,0.09808207992060616,1
1,0,2.6453235,0.03772,12.027,241.86742,0.101,1512.0,5629.0,1.17,1.02,0.091,8.1,3.39851,158.83659,348.815,2.83881,0.0007119708555092223,0.0940497642251096,1
1,0,3.377728,0.04294,12.543,195.14664,0.069,1237.0,5400.0,0.97,0.93,-0.146,9.0,-6.39952,13.68182,4483.05,-0.149186,0.0006300327792536369,0.11830850049848264,1
1,0,4.007232,0.05387,19.089,184.34048,0.101,1766.0,6457.0,1.74,1.3,0.668,2.88,-28.45082,193.55233,651.897,1.50537,0.00042575756915342076,0.10037375964773448,1
1,0,2.6054552,0.03951,21.185,167.49641,0.304,1930.0,5835.0,1.86,1.21,0.555,5.46,-22.3345,60.50165,738.519,1.32608,0.00041562833622942714,0.10420817401337436,1
1,0,2.972086,0.04363,17.822,248.86089,0.09,1896.0,6002.0,1.88,1.25,0.615,4.66,49.12363,160.16347,935.456,1.03958,0.0005977666103891403,0.08673309657363516,1
2,0,4.8101025,0.06505,23.371,108.0622,0.0,1903.0,6406.0,2.55,1.64,0.939,1.24,36.91147,70.15807,371.686,2.66176,0.0001978403960808839,0.08385392137151844,1
1,0,2.29840551,0.02996,12.016,230.10892,0.041,1028.0,4508.0,0.67,0.68,-0.779,11.1,23.83401,197.14414,202.152,4.91793,0.0010160370791115845,0.16408594360534975,1
1,0,4.7869491,0.06555,18.786,1137.8314,0.0,1930.0,7394.0,1.93,1.65,1.0,1.27,26.20647,222.78554,341.263,2.90206,0.002070517884973415,0.08905601768893495,1
2,0,2.20474,0.03676,16.926,584.8072,0.0,2733.0,6389.0,2.0,1.56,0.814,2.07,13.97537,80.03294,341.079,2.9031,0.0011255716048523285,0.07743023953815664,1
1,0,2.74432452,0.04739,20.961,2154.8874,0.0,2562.0,8450.0,1.86,1.89,1.223,0.6,-19.66114,189.96459,330.739,2.99621,0.003423322334426648,0.10310632690556243,1
3,0,3.07634,0.04496,15.693,406.8224,0.0,1700.0,6200.0,1.57,1.27,0.519,3.4,-21.38256,97.14496,211.553,4.69844,0.0009618030557040099,0.09145186872435293,1
1,0,3.92281072,0.05287,15.614,238.05467,0.084,1540.0,6350.0,1.34,1.28,0.418,1.6,21.4426,181.08665,455.203,2.1687,0.0005584081547102815,0.10660943423160499,1
